,年份,颱風編號,颱風名稱,侵臺路徑分類,警報期間,近臺強度,近臺最低氣壓(hPa),近臺最大風速(m/s),近臺7級風暴風半徑(km),近臺10級風暴風半徑(km),警報發布報數
,1959,195917,巴布絲,8,1959/10/8 00:00,輕度,1000,18,150,---,9
,,,(BABS),,1959/10/9 22:00,,,,,,
,1959,195916,愛美,---,1959/10/3 18:00,中度,990,35,250,---,8
,,,(AMY),,1959/10/6 12:00,,,,,,
,1959,195914,莎拉,---,1959/9/14 00:00,強烈,905,60,400,---,11
,,,(SARAH),,1959/9/16 23:00,,,,,,
,1959,195912,娜?,---,1959/9/8 00:00,輕度,990,18,150,---,5
,,,(NORA),,1959/9/9 18:00,,,,,,
,1959,195912,娜?,---,1959/9/11 09:00,輕度,990,25,200,---,4
,,,(NORA),,1959/9/12 12:00,,,,,,
,1959,195911,魯依絲,3,1959/9/2 01:00,中度,965,45,250,---,12
,,,(LOUISE),,1959/9/5 12:00,,,,,,
,1959,195910,凱蒂,---,1959/8/26 18:00,輕度,998,20,150,---,4
,,,(KATE),,1959/8/28 12:00,,,,,,
,1959,195909,瓊安,3,1959/8/28 12:00,強烈,885,75,600,---,13
,,,(JOAN),,1959/8/31 12:00,,,,,,
,1959,195908,艾瑞絲,5,1959/8/20 18:00,中度,960,45,250,---,12
,,,(IRIS),,1959/8/23 12:00,,,,,,
,1959,195906,艾倫,---,1959/8/4 00:00,中度,965,45,300,---,6
,,,(ELLEN),,1959/8/6 00:00,,,,,,
,1959,195905,畢莉,1,1959/7/13 00:00,中度,965,45,300,---,11
,,,(BILLIE),,1959/7/16 18:00,,,,,,
,1959,195904,魏達,---,1959/7/4 23:00,輕度,995,25,150,---,4
,,,(WILDA),,1959/7/6 12:00,,,,,,
,1958,195814,海倫,---,1958/9/12 00:00,強烈,920,55,300,---,8
,,,(HELEN),,1958/9/15 12:00,,,,,,
,1958,195813,葛瑞絲,1,1958/9/1 12:00,強烈,910,75,350,---,13
,,,(GRACE),,1958/9/4 23:00,,,,,,
,1958,195808,貝蒂,---,1958/7/13 12:00,,985,---,---,---,---
,,,(BETTY),,1958/7/16 12:00,,,,,,
,1958,195807,溫妮,3,1958/7/13 12:00,強烈,925,50,350,---,12
,,,(WINNIE),,1958/7/17 00:00,,,,,,
,1958,195805,蒂絲,---,1958/7/5 00:00,中度,995,30,150,---,3
,,,(TESS),,1958/7/6 00:00,,,,,,
,1949,194901,卡門,---,1949/1/11 05:00,,---,---,---,---,---
,,,(CARMEN),,1949/1/15 06:00,,,,,,
,,,,,,,,,,,
政府網站資料開放宣告?|?資訊安全政策?|?隱私權保護政策?|?個人資料保護專區,,,,,,,,,,,
,,,,,,,,,,,
地址：10048臺北市中正區公園路64號 | 電話：(02)2349-1000(代表號) | 網頁問題 : (02)2700-4038,,,,,,,,,,,
,,,,,,,,,,,
最佳瀏覽器版本：建議使用 Google Chrome 48.0.2526、Firefox 40.0.3、Microsoft IE 8.0 以上 最佳解析度：1024*768,,,,,,,,,,,
